ID,Year,Country,Country area (km^2),Continent,Population ,GDP (USD)
108,2015,Guyana,214970.0,South America,755031,4279840193.7
109,2016,Guyana,214970.0,South America,759087,4482697336.56
110,2017,Guyana,214970.0,South America,763252,4748174334.14
111,2018,Guyana,214970.0,South America,785514,4787637005.54
112,2019,Guyana,214970.0,South America,798753,5173760191.85
113,2020,Guyana,214970.0,South America,797202,5471256594.72
114,2021,Guyana,214970.0,South America,804567,8044498800.96
115,2022,Guyana,214970.0,South America,808726,15357537068.34
116,2000,Colombia,1138910.0,South America,39215135,99875074935.08
117,2001,Colombia,1138910.0,South America,39837875,98200641189.16
118,2002,Colombia,1138910.0,South America,40454050,97945812789.85
119,2003,Colombia,1138910.0,South America,41057687,94644969146.14
120,2004,Colombia,1138910.0,South America,41648268,117092416651.4
121,2005,Colombia,1138910.0,South America,42220940,145600527535.77
122,2006,Colombia,1138910.0,South America,42772910,161792959247.85
123,2007,Colombia,1138910.0,South America,43306582,206229536757.67
124,2008,Colombia,1138910.0,South America,43815313,242504150472.93
125,2009,Colombia,1138910.0,South America,44313917,232468666665.15
126,2010,Colombia,1138910.0,South America,44816108,286498534094.96
127,2011,Colombia,1138910.0,South America,45308899,334966134865.31
128,2012,Colombia,1138910.0,South America,45782417,370691143086.76
129,2013,Colombia,1138910.0,South America,46237930,382093697077.68
130,2014,Colombia,1138910.0,South America,46677947,381240864422.41
131,2015,Colombia,1138910.0,South America,47119728,293492370228.85
132,2016,Colombia,1138910.0,South America,47625955,282720100286.23
133,2017,Colombia,1138910.0,South America,48351671,311866875135.58
134,2018,Colombia,1138910.0,South America,49276961,334198218100.72
135,2019,Colombia,1138910.0,South America,50187406,323031701210.77
136,2020,Colombia,1138910.0,South America,50930662,270150956772.57
137,2021,Colombia,1138910.0,South America,51516562,318511813576.97
138,2022,Colombia,1138910.0,South America,51874024,343939445259.49
139,2000,Paraguay,406750.0,South America,5123819,8855705139.56
140,2001,Paraguay,406750.0,South America,5211541,8495806432.18
141,2002,Paraguay,406750.0,South America,5286512,7196260656.85
142,2003,Paraguay,406750.0,South America,5353254,7691367471.18
143,2004,Paraguay,406750.0,South America,5416324,9624440836.29
144,2005,Paraguay,406750.0,South America,5476878,10737500188.11
145,2006,Paraguay,406750.0,South America,5534675,13429430050.26
146,2007,Paraguay,406750.0,South America,5590145,17856393235.43
147,2008,Paraguay,406750.0,South America,5645148,24615267617.03
148,2009,Paraguay,406750.0,South America,5702574,22355151177.74
149,2010,Paraguay,406750.0,South America,5768613,27129301048.05
150,2011,Paraguay,406750.0,South America,5843939,33737033607.06
151,2012,Paraguay,406750.0,South America,5923322,33296438408.86
152,2013,Paraguay,406750.0,South America,6005652,38651334593.03
153,2014,Paraguay,406750.0,South America,6090721,40377987314.64
154,2015,Paraguay,406750.0,South America,6177950,36211372646.38
155,2016,Paraguay,406750.0,South America,6266615,36089550671.83
156,2017,Paraguay,406750.0,South America,6355404,38997129809.17
157,2018,Paraguay,406750.0,South America,6443328,40225448651.31
158,2019,Paraguay,406750.0,South America,6530026,37925338460.16
159,2020,Paraguay,406750.0,South America,6618695,35432177936.33
160,2021,Paraguay,406750.0,South America,6703799,39950899733.23
161,2022,Paraguay,406750.0,South America,6780744,41722295362.07
162,2000,Peru,1285220.0,South America,26654439,51744749133.21
163,2001,Peru,1285220.0,South America,27014909,52030158775.41
164,2002,Peru,1285220.0,South America,27334503,54777553515.08
165,2003,Peru,1285220.0,South America,27623341,58731030121.87
